Date,Day,Time,temperature,temperatureApparent,cloudCover,windSpeed,humidity,precipitationProbability,precipitationIntensity
2021-09-23,Thursday,6,13,13,97.25,6.27,90.99,0,0
2021-09-23,Thursday,7,13,13,99.56,6.71,90.16,0,0
2021-09-23,Thursday,8,14,14,73.76,7.14,87.89,0,0
2021-09-23,Thursday,9,15,15,78.19,6.49,85.19,0,0
2021-09-23,Thursday,10,16,16,100,6.4,79.21,0,0
2021-09-23,Thursday,11,18,18,100,6.73,75.33,0,0
2021-09-23,Thursday,12,19,19,100,7.31,73.72,0,0
2021-09-23,Thursday,13,20,20,100,5.88,68.64,0,0
2021-09-23,Thursday,14,20,20,100,7.11,62.61,0,0
2021-09-23,Thursday,15,21,21,100,6.42,60.84,0,0
2021-09-23,Thursday,16,21,21,48.45,5.27,59.99,0,0
2021-09-23,Thursday,17,20,20,46.75,3.95,62.62,0,0
2021-09-23,Thursday,18,19,19,20.79,3.05,69.48,0,0
2021-09-23,Thursday,19,19,19,0.07,2.83,71.49,0,0
2021-09-24,Friday,6,14,14,0,4.1,87.78,0,0
2021-09-24,Friday,7,14,14,50.56,4.73,91.73,0,0
2021-09-24,Friday,8,14,14,31.9,5.84,85.69,0,0
2021-09-24,Friday,9,15,15,2.56,5.54,82.09,0,0
2021-09-24,Friday,10,16,16,19.28,5.83,78.23,0,0
2021-09-24,Friday,11,17,17,8.35,5.57,75.08,0,0
2021-09-24,Friday,12,18,18,19.03,5.59,72.54,0,0
2021-09-24,Friday,13,19,19,22.49,5.76,67.7,0,0
2021-09-24,Friday,14,20,20,14.54,5.43,64.15,0,0
2021-09-24,Friday,15,20,20,0,5.13,61.12,0,0
2021-09-24,Friday,16,20,20,0,4.66,62.07,0,0
2021-09-24,Friday,17,20,20,57.44,3.79,69.9,0,0
2021-09-24,Friday,18,20,20,81.67,3.29,77.61,0,0
2021-09-24,Friday,19,19,19,68.05,3.5,79.49,0,0
2021-09-25,Saturday,6,17,17,90.85,3.67,93.07,0,0
2021-09-25,Saturday,7,17,17,89.42,3.78,92.97,0,0
2021-09-25,Saturday,8,17,17,88.12,3.41,91.61,0,0
2021-09-25,Saturday,9,18,18,91.2,4,90.32,0,0
2021-09-25,Saturday,10,18,18,79.95,3.36,89.58,0,0
2021-09-25,Saturday,11,19,19,87.23,3.72,87.83,0,0
2021-09-25,Saturday,12,18,18,86.7,3.94,88.44,0,0
2021-09-25,Saturday,13,19,19,94.88,3.49,88.05,0,0
2021-09-25,Saturday,14,19,19,100,3.83,88.22,0,0
2021-09-25,Saturday,15,19,19,94.92,3.6,89.75,0,0
2021-09-25,Saturday,16,19,19,30.29,3.47,90.7,0,0
2021-09-25,Saturday,17,19,19,48.63,3.85,89.59,0,0
2021-09-25,Saturday,18,18,18,62.82,4.79,86.83,0,0
2021-09-25,Saturday,19,18,18,85.93,5.11,80.54,0,0
2021-09-26,Sunday,6,18,18,98.67,4.31,83.88,0,0
2021-09-26,Sunday,7,18,18,89.18,4.85,89.1,0,0
2021-09-26,Sunday,8,18,18,93.5,5.24,90.11,0,0
2021-09-26,Sunday,9,18,18,98.31,5.26,90.18,5,0.1318
2021-09-26,Sunday,10,18,18,97.83,4.53,89.8,10,0.3447
2021-09-26,Sunday,11,18,18,97.55,4.61,88.7,15,0.2061
2021-09-26,Sunday,12,18,18,100,4.67,89.02,10,0.2539
2021-09-26,Sunday,13,19,19,90.75,4.44,85.14,0,0
2021-09-26,Sunday,14,19,19,95.38,4.66,87.92,15,0.1387
2021-09-26,Sunday,15,19,19,89.56,4.45,88.77,20,0.0605
2021-09-26,Sunday,16,19,19,70.37,4.26,87.83,0,0
2021-09-26,Sunday,17,19,19,79.69,5.26,87.13,0,0
2021-09-26,Sunday,18,18,18,80.34,5.44,90.62,10,0.4023
2021-09-26,Sunday,19,18,18,83.05,5.92,90.05,5,0.0605
2021-09-27,Monday,6,18,18,98.43,10.29,87.47,10,0.0293
2021-09-27,Monday,7,17,17,100,11.25,88.24,25,0.3887
2021-09-27,Monday,8,17,17,100,11.99,87.9,45,0.7266
2021-09-27,Monday,9,18,18,99.85,13.1,87.43,65,0.2617
2021-09-27,Monday,10,17,17,99.84,13.55,89.01,85,0.8379
2021-09-27,Monday,11,17,17,100,13.78,89.54,90,1.9199
2021-09-27,Monday,12,17,17,94.93,10.89,71.57,70,1.9668
2021-09-27,Monday,13,16,16,31.62,9.06,66.8,0,0
2021-09-27,Monday,14,17,17,32.7,9.75,54.19,0,0
2021-09-27,Monday,15,17,17,21.08,8.4,50.9,0,0
2021-09-27,Monday,16,18,18,10.6,6.71,51.67,0,0
2021-09-27,Monday,17,18,18,8.53,6.55,54.16,0,0
2021-09-27,Monday,18,17,17,1.57,5.31,57.92,0,0
2021-09-27,Monday,19,17,17,0.57,4.62,63.3,0,0
2021-09-28,Tuesday,6,14,14,22.49,6.58,81.26,0,0
2021-09-28,Tuesday,7,15,15,30.73,6.53,78.34,0,0
