Type,Date,Weights
Daily,2021-09-13,"[0.10327022375215146, 0.07917383820998279, 0.16351118760757316, 0.10154905335628227, 0.11015490533562823, 0.12908777969018934, 0.12736660929432014, 0.10671256454388985, 0.058519793459552494, 0.012048192771084338]"
Daily,2021-09-14,"[0.06958250497017893, 0.15109343936381708, 0.12524850894632206, 0.10536779324055666, 0.07952286282306163, 0.1848906560636183, 0.15904572564612326, 0.08151093439363817, 0.039761431411530816, 0.0019880715705765406]"
Daily,2021-09-15,"[0.07518796992481203, 0.09022556390977443, 0.11578947368421053, 0.1774436090225564, 0.13383458646616542, 0.1037593984962406, 0.12481203007518797, 0.13834586466165413, 0.03308270676691729, 0.004511278195488722]"
Daily,2021-09-16,"[0.10632183908045977, 0.11925287356321838, 0.09051724137931035, 0.09482758620689655, 0.13218390804597702, 0.11494252873563218, 0.1206896551724138, 0.12931034482758622, 0.09339080459770115, 0.0]"
Daily,2021-09-17,"[0.06918238993710692, 0.09811320754716982, 0.14339622641509434, 0.19874213836477989, 0.13962264150943396, 0.1169811320754717, 0.09182389937106918, 0.07547169811320754, 0.050314465408805034, 0.016352201257861635]"
Daily,2021-09-18,"[0.08487654320987655, 0.10648148148148148, 0.12808641975308643, 0.1404320987654321, 0.12191358024691358, 0.12654320987654322, 0.12191358024691358, 0.10648148148148148, 0.05555555555555555, 0.007716049382716049]"
Daily,2021-09-19,"[0.04199475065616798, 0.1242344706911636, 0.14785651793525809, 0.1504811898512686, 0.09798775153105861, 0.1347331583552056, 0.1111111111111111, 0.11198600174978128, 0.06386701662292213, 0.016622922134733157]"
Average,2021-09-13,"[0.050397877984084884, 0.10079575596816977, 0.13527851458885942, 0.16047745358090185, 0.13262599469496023, 0.1259946949602122, 0.09946949602122016, 0.07559681697612732, 0.07161803713527852, 0.01989389920424403]"
Average,2021-09-14,"[0.07407407407407407, 0.09391534391534391, 0.14153439153439154, 0.17328042328042328, 0.164021164021164, 0.11507936507936507, 0.08597883597883597, 0.10846560846560846, 0.06481481481481481, 0.006613756613756613]"
Average,2021-09-15,"[0.07087628865979381, 0.1056701030927835, 0.08891752577319588, 0.12757731958762886, 0.12628865979381443, 0.11597938144329897, 0.10051546391752578, 0.0979381443298969, 0.07860824742268041, 0.015463917525773196]"
